ua,software,main_version,listening,est_unreachable,total_count
/bitcoinj:0.14.7/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.16.1/Bitcoin Wallet:2.4.5/,bitcoinj / wallets,,0,1,1
/Satoshi:0.9.5/,Bitcoin Core,v0.9,0,1,1
/opentxs:1.234.3-0-2c1524dbf/,other (excluded),,0,1,1
/bitcoinj:0.15.10/Bitcoin Wallet:8.15/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.15.8/Bitcoin Wallet:8.05/,bitcoinj / wallets,,0,1,1
/Satushi:22.69.0/,other (excluded),,0,1,1
/bitcoinj:0.15.8/Bitcoin Wallet:8.03/,bitcoinj / wallets,,0,1,1
/BitCoinJ:0.10.3/MultiBit:0.5.16/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.15.3/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.17-SNAPSHOT/,bitcoinj / wallets,,0,1,1
/elephant Wallet%5B2.1%5D/,other (excluded),,0,1,1
/bitcoinj:0.16.1/Bitcoin Wallet:9.14/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.16.3/PeerMonitor:1.0/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.17/Bitcoin Wallet:11.0/,bitcoinj / wallets,,0,1,1
/open-nodes:0.1/,other (excluded),,0,1,1
/bitcoinj:0.16.1/Bitcoin Wallet:1.2.0.6/,bitcoinj / wallets,,0,1,1
/bitcoinj:0.16.3/Bitcoin Wallet:10.18/,bitcoinj / wallets,,0,1,1
/BitCoinJ:0.10.3/Bitcoin Wallet:3.28/,bitcoinj / wallets,,0,1,1
/Satoshi:29.0.0/Knots:20250903/,Bitcoin Knots,v29,1,0,1
