software,main_version,sub_version,listening,est_unreachable,total_count,percent
Bitcoin Core,v0.7,v0.7.0,0,7,7,0.007230657989877079
Bitcoin Core,v0.8,v0.8.3,0,7,7,0.007230657989877079
Bitcoin Core,v23,v23.99.0,2,5,7,0.007230657989877079
Bitcoin Core,v28,v28.4.0,1,6,7,0.007230657989877079
Bitcoin Core,v0.10,v0.10.0,0,6,6,0.006197706848466067
Bitcoin Core,v0.14,v0.14.99,0,6,6,0.006197706848466067
Bitcoin Core,v0.8,v0.8.0,0,6,6,0.006197706848466067
Bitcoin Core,v0.9,v0.9.3,0,6,6,0.006197706848466067
Bitcoin Core,v1,v1.0.5,0,6,6,0.006197706848466067
Bitcoin Core,v21,v21.99.0,0,5,5,0.005164755707055057
Bitcoin Core,v0.12,v0.12.0,0,4,4,0.004131804565644045
Bitcoin Core,v0.17,v0.17.2,2,2,4,0.004131804565644045
Bitcoin Core,v0.9,v0.9.2,0,4,4,0.004131804565644045
Bitcoin Core,v0.15,v0.15.2,1,2,3,0.0030988534242330336
Bitcoin Core,v0.8,v0.8.2,0,3,3,0.0030988534242330336
Bitcoin Core,v23,v23.2.0,1,2,3,0.0030988534242330336
Bitcoin Core,unknown,unknown,0,2,2,0.0020659022828220224
Bitcoin Core,v0.19,v0.19.99,0,2,2,0.0020659022828220224
Bitcoin Core,v1,v1.0.0,2,0,2,0.0020659022828220224
Bitcoin Core,v0.0,v0.0.126,0,1,1,0.0010329511414110112
Bitcoin Core,v0.0,v0.0.195,0,1,1,0.0010329511414110112
Bitcoin Core,v0.10,v0.10.2,0,1,1,0.0010329511414110112
Bitcoin Core,v0.18,v0.18.99,0,1,1,0.0010329511414110112
Bitcoin Core,v0.9,v0.9.5,0,1,1,0.0010329511414110112
Bitcoin Core,v21,v21.0.0,0,1,1,0.0010329511414110112
Bitcoin Core,v27,v27.1,0,1,1,0.0010329511414110112
Bitcoin Core,v29,v29.4.0,0,1,1,0.0010329511414110112
Bitcoin Knots,v29,v29.3.0,251,4305,4556,4.706125400268568
Bitcoin Knots,v29,v29.2.0,235,3696,3931,4.0605309368866855
Bitcoin Knots,v28,v28.1.0,94,1545,1639,1.6930069207726475
Bitcoin Knots,v29,v29.1.0,57,788,845,0.8728437144923045
Bitcoin Knots,v27,v27.1.0,6,12,18,0.018593120545398203
Bitcoin Knots,v0.15,v0.15.0,0,11,11,0.011362462555521124
Bitcoin Knots,v0.15,v0.15.1,0,10,10,0.010329511414110114
Bitcoin Knots,v0.14,v0.14.1,0,6,6,0.006197706848466067
Bitcoin Knots,v21,v21.2.0,0,5,5,0.005164755707055057
Bitcoin Knots,v0.14,v0.14.2,0,4,4,0.004131804565644045
Bitcoin Knots,v26,v26.1.0,0,4,4,0.004131804565644045
Bitcoin Knots,v23,v23.0.0,0,2,2,0.0020659022828220224
Bitcoin Knots,v0.12,v0.12.1,0,1,1,0.0010329511414110112
Bitcoin Knots,v22,v22.0.0,0,1,1,0.0010329511414110112
Bitcoin Knots,v25,v25.1.0,0,1,1,0.0010329511414110112
Bitcoin Knots,v30,v30.2.0,1,0,1,0.0010329511414110112
other,unknown,unknown,24,164,188,0.19419481458527013
other,v25,v25,0,7,7,0.007230657989877079
other,v30,v30,1,0,1,0.0010329511414110112
